amenity_id,amenity_name,category,description
AM067,Coworking Space,Convenience,Shared flexible workspace designed for professionals and remote working residents
AM068,Reception Area,Basic,Front desk facility managing visitor entry and resident assistance queries
AM069,Generator Backup,Basic,Standby power generator ensuring continuous electricity supply during outages
AM070,Maintenance Staff,Convenience,Dedicated personnel handling repairs and upkeep of property infrastructure
AM071,Housekeeping,Convenience,Professional cleaning service maintaining hygiene across common and private areas
AM072,Laundry Service,Convenience,On-site facility offering washing and ironing services for residents
AM073,Amphitheatre,Recreation,Open air seating structure designed for community events and performances
AM074,Multipurpose Hall,Recreation,Versatile indoor space used for events meetings and social gatherings
AM075,Library,Recreation,Quiet reading space stocked with books for residents and children
AM076,Mini Theatre,Recreation,Private screening room equipped for watching movies within the community
AM077,Skating Rink,Fitness,Dedicated open space designed for residents to practice skating activities
AM078,Squash Court,Fitness,Enclosed court facility designed specifically for playing squash matches
AM079,Meditation Zone,Fitness,Tranquil designated space encouraging mindfulness and stress relieving meditation practices
AM080,Barbeque Area,Recreation,Outdoor space equipped with grilling stations for social cookouts
AM081,Guest House,Convenience,On-site accommodation facility available for hosting visiting friends or family
AM082,Concierge Service,Convenience,Dedicated staff assisting residents with errands bookings and daily requirements
AM083,Valet Parking,Parking,Assisted parking service allowing staff to park vehicles for residents
AM084,Water Softener Plant,Basic,System that treats hard water to improve quality for household use
AM085,Fire Sprinkler System,Security,Automated water dispensing system designed to control fires effectively
AM086,Boom Barrier,Security,Automated gate barrier controlling vehicle entry and exit at premises
AM087,Access Control System,Security,Electronic system regulating and monitoring entry into restricted building areas
AM088,Emergency Alarm System,Security,Alert mechanism enabling residents to signal security during urgent situations
AM089,Toddler Play Zone,Children's Facilities,Soft flooring area with safe equipment designed for toddlers to play
AM090,Kids Zone,Children's Facilities,Dedicated indoor space offering age appropriate activities and games for children
AM091,School Bus Pickup Point,Children's Facilities,Designated safe zone within the property for children's school transport pickup
AM092,Creche Facility,Children's Facilities,On-site childcare service allowing parents to leave children under supervision
AM093,Organic Waste Composter,Eco-Friendly,On-site unit converting organic waste into compost for garden use
AM094,Energy Efficient Lighting,Eco-Friendly,LED based lighting system installed to reduce overall energy consumption
AM095,Green Building Certification,Eco-Friendly,Property built following sustainable construction practices recognized by environmental standards
AM096,Vertical Garden,Eco-Friendly,Wall mounted greenery installation improving air quality and visual appeal
AM097,Electric Vehicle Fleet,Smart Home,Shared electric vehicles provided for residents to use within locality
AM098,Video Surveillance App,Smart Home,Mobile application allowing residents to view live security camera feeds remotely
AM099,Digital Payment Kiosk,Convenience,On-site kiosk enabling residents to pay maintenance and bills digitally
AM100,Multi-Level Car Parking,Parking,Structured parking facility offering multiple floors to accommodate more vehicles
